2024-05-23,2024-05-23T00,4.84472,132.33645,0.48,42
2024-05-23,2024-05-23T03,5.42443,131.83801,0.57,44
2024-05-23,2024-05-23T06,6.08696,131.83801,0.55,41
2024-05-23,2024-05-23T09,6.25259,131.58879,0.5,38
2024-05-23,2024-05-24T03,12.21532,89.4704,0.41,39
2024-05-23,2024-05-24T03,9.23395,128.01661,0.29,35
2024-05-23,2024-05-24T06,12.13251,89.4704,0.49,39
2024-05-23,2024-05-24T09,12.38095,89.30426,0.49,38
2024-05-23,2024-05-24T12,12.6294,89.63655,0.41,40
2024-05-23,2024-05-24T15,12.87785,89.71963,0.36,42
2024-05-23,2024-05-24T18,12.46377,89.63655,0.43,41
2024-05-23,2024-05-24T21,12.6294,90.13499,0.33,39
2024-05-23,2024-05-25T00,12.46377,90.13499,0.31,39
2024-05-23,2024-05-25T03,12.96066,90.30114,0.34,40
2024-05-23,2024-05-25T06,12.79503,90.30114,0.31,39
2024-05-23,2024-05-25T09,13.62319,123.03219,0.28,40
